time_s,gpu_temp_c,cpu_temp_c,power_w,gpu_util_pct,gpu_freq_mhz,runs
6.9,60.8,57.7,37.42,0,1020,5
12.9,60.9,58.1,36.76,0,1020,10
18.9,61.6,58.1,37.30,0,1020,15
24.9,61.8,58.4,37.34,0,1020,20
30.9,61.6,58.8,36.79,0,1020,25
36.9,62.2,58.9,36.72,19,1020,30
42.9,61.9,59.0,37.52,22,1020,35
48.9,62.2,59.1,37.30,32,1020,40
54.9,62.6,59.1,37.24,0,1020,45
61.0,62.8,59.5,37.03,0,1020,50
67.0,62.5,59.3,37.03,1,1020,55
73.0,62.6,59.5,37.64,5,1020,60
79.0,62.7,59.7,36.87,0,1020,65
85.0,62.8,59.8,37.09,51,1020,70
91.0,63.3,59.9,37.60,31,1020,75
